,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2021_Human,cellular response to cadmium ion (GO:0071276),4/27,0.0001505779617082098,0.0860542610939323,0,0,17.281188551452917,152.09225179007498,JUN;MT1F;MT1G;FOS
1,KEGG_2021_Human,response to cadmium ion (GO:0046686),4/29,0.00020057339446833664,0.0860542610939323,0,0,15.89708542713568,135.35303646781324,JUN;MT1F;MT1G;FOS
2,KEGG_2021_Human,generation of neurons (GO:0048699),9/202,0.0002286649984781197,0.0860542610939323,0,0,4.712248277335612,39.503967218594624,PTPRD;HES6;TUBB2B;TUBB2A;FGF8;OLIG3;DCX;NRCAM;IER2
3,KEGG_2021_Human,endoderm development (GO:0007492),3/15,0.0004284286446874797,0.0969095825473825,0,0,24.73125,191.8003988483856,DUSP2;DUSP1;GATA4
4,KEGG_2021_Human,central nervous system development (GO:0007417),10/268,0.00042918327080328857,0.0969095825473825,0,0,3.923966742981082,30.424972623921008,ROBO2;EPHA7;DLX2;SLC23A1;HESX1;SCTR;DCX;NRCAM;SERPINI1;PCDH18
5,KEGG_2021_Human,brain development (GO:0007420),7/150,0.000866489297323151,0.1630444027796395,0,0,4.908591408591408,34.61077646680333,ROBO2;EPHA7;DLX2;SLC23A1;HESX1;SCTR;PCDH18
6,KEGG_2021_Human,calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338),3/20,0.0010340288737092,0.1667740854882559,0,0,17.45294117647059,119.9766240111724,CLDN4;CLDN14;CLDN2
7,KEGG_2021_Human,neuron migration (GO:0001764),4/50,0.0016472867079228,0.2241460508370638,0,0,8.630544024470177,55.30992679300502,TUBB2B;TUBB2A;DCX;NRCAM
8,KEGG_2021_Human,cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742),7/170,0.0017868152856807,0.2241460508370638,0,0,4.301928133216477,27.219677695755863,PTPRD;ROBO2;CLDN4;SLITRK2;CLDN14;CDHR3;CLDN2
9,KEGG_2021_Human,cellular response to metal ion (GO:0071248),6/131,0.0022201929235887,0.2314547573196043,0,0,4.793177664974619,29.287088118251425,SYT5;JUN;SYT1;MT1F;MT1G;FOS
10,KEGG_2021_Human,metanephros development (GO:0001656),3/26,0.0022550950668871,0.2314547573196043,0,0,12.89608695652174,78.59601632702004,ROBO2;FGF8;CITED1
11,KEGG_2021_Human,negative regulation of cell death (GO:0060548),5/94,0.0027111269787589,0.2550718632515732,0,0,5.5918737941209855,33.05015982576127,CHGA;PACRG;SPEF1;GATA4;HSPA1B
12,KEGG_2021_Human,regulation of catecholamine secretion (GO:0050433),3/30,0.0034181522884767,0.2724228946131856,0,0,10.983333333333333,62.37056229240534,CHGA;SYT5;SYT1
13,KEGG_2021_Human,endothelial cell chemotaxis (GO:0035767),2/9,0.003521400268124,0.2724228946131856,0,0,28.130774697938875,158.9078365628367,NR4A1;EGR3
14,KEGG_2021_Human,regulation of cellular component size (GO:0032535),3/31,0.0037563625783629,0.2724228946131856,0,0,10.590535714285714,59.14077295499547,PPP1R15A;NEB;LAMTOR4
15,KEGG_2021_Human,negative regulation of inclusion body assembly (GO:0090084),2/10,0.0043724275862743,0.2724228946131856,0,0,24.61318407960199,133.70956972525602,DNAJB1;HSPA1B
16,KEGG_2021_Human,negative regulation of transcription from RNA polymerase II promoter in response to stress (GO:0097201),2/10,0.0043724275862743,0.2724228946131856,0,0,24.61318407960199,133.70956972525602,DNAJB1;JUN
17,KEGG_2021_Human,axoneme assembly (GO:0035082),3/34,0.0048905340609159,0.2724228946131856,0,0,9.564193548387095,50.88584958850677,SPEF1;TTLL3;DCX
